TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8560.6723,-991.494,-54.229,-310.978,-30773.75,10850.0,-4226.25,-135.28,-193.04,-516.8
8560.7223,-974.658,-75.091,-293.044,-22006.25,6781.25,-13168.75,-124.64,-171.76,-524.4
8560.7723,-958.005,3.904,-294.508,-37397.5,11935.0,-15513.75,-135.28,-186.96,-533.52
8560.8223,-948.611,-75.396,-279.197,-46095.0,-1898.75,-14525.0,-121.6,-171.76,-528.96
8560.8723,-953.308,-63.623,-259.067,-29636.25,11147.5,-18121.25,-123.12,-171.76,-516.8
8560.9223,-901.275,-74.42,-291.702,-41142.5,11357.5,-12775.0,-109.44,-167.2,-539.6
8560.9723,-829.234,9.394,-328.485,-26652.5,9555.0,122.5,-120.08,-142.88,-538.08
8561.0223,-784.521,-16.714,-390.583,-35428.75,20273.75,-4331.25,-112.48,-141.36,-538.08
8561.0723,-779.946,-24.888,-522.831,-38587.5,53278.75,-5145.0,-101.84,-142.88,-556.32
8561.1223,-826.001,-190.198,-670.512,19127.5,45648.75,-4156.25,-88.16,-129.2,-570.0
8561.1723,-888.404,-110.41,-805.566,8557.5,58380.0,-16581.25,-59.28,-136.8,-579.12
8561.2223,-856.257,-163.968,-834.846,1496.25,24823.75,-20195.0,-47.12,-147.44,-611.04
8561.2723,-804.529,-138.47,-742.797,4777.5,17403.75,-11891.25,-47.12,-141.36,-601.92
8561.3223,-726.632,-153.598,-674.721,-21236.25,-1566.25,5862.5,-60.8,-135.28,-614.08
8561.3723,-704.733,-155.184,-656.177,11725.0,-7175.0,19880.0,-31.92,-150.48,-600.4
8561.4223,-754.204,-143.777,-665.205,21017.5,-3246.25,25777.5,-63.84,-139.84,-612.56
8561.4723,-843.63,-170.861,-658.556,52508.75,-15916.25,25077.5,-41.04,-135.28,-611.04
8561.5223,-796.233,-94.306,-694.18,45421.25,-20273.75,33871.25,-69.92,-142.88,-621.68
8561.5723,-825.33,-176.534,-717.726,43960.0,-4068.75,32383.75,-63.84,-148.96,-594.32
8561.6223,-888.587,-183.732,-688.263,26398.75,-9283.75,34011.25,-79.04,-155.04,-626.24
8561.6723,-802.577,-252.967,-659.349,40713.75,-18208.75,30992.5,-59.28,-153.52,-598.88
8561.7223,-759.877,-280.112,-555.1,41142.5,-19433.75,25646.25,-95.76,-167.2,-594.32
8561.7723,-795.44,-217.282,-509.045,9940.0,-10482.5,17622.5,-92.72,-161.12,-588.24
8561.8223,-820.999,-164.944,-359.9,34387.5,-40206.25,1268.75,-91.2,-158.08,-588.24
8561.8723,-878.217,-12.505,-415.715,-34063.75,-15592.5,5215.0,-91.2,-168.72,-577.6
8561.9223,-912.987,-175.985,-311.222,37651.25,-76545.0,11252.5,-121.6,-168.72,-553.28
8561.9723,-1015.65,-111.447,-262.727,8942.5,-35288.75,21210.0,-129.2,-161.12,-536.56
8562.0224,-959.347,10.858,-343.857,17885.0,-15435.0,17736.25,-145.92,-161.12,-524.4
